NOMBRE_EQUIPO,INTERFACE,NOMBRE_CLIENTE,NRO_VLAN,DIRECCION_IP,VELOCIDAD_ENTRADA,VELOCIDAD_SALIDA,
 CRED1006X1,Port-channel3.1765(shutdown),PCR-NTIS-C-LETONIA,1765,172.23.242.65 255.255.255.252,NTIS-LETONIA,NTIS-LETONIA,
 CRED1006X1,FortyGigabitEthernet0/0/0,CCSJ5120CREDX1_Eth0/0/54,,,,,
 CRED1006X1,FortyGigabitEthernet0/0/1,CCSJ5120CREDX1_Eth0/0/55,,,,,
 CRED1006X1,FortyGigabitEthernet0/1/0,CCSJ5120CREDX1_Eth0/0/52,,,,,
 CRED1006X1,FortyGigabitEthernet0/1/1,,,,,,
 CRED1006X1,GigabitEthernet0,,,,,,
 VECCSNOC7206X3,Tunnel0,JC-STUFF,,192.168.245.142 255.255.255.252,,,
,,,,,,,
 VECCSNOC7206X3,Tunnel1(shutdown),,,,,,
 VECCSNOC7206X3,Tunnel2,TUNNEL-VIVAX;ID:21679,,172.23.249.129 255.255.255.252,,,
 VECCSNOC7206X3,Tunnel3,TUNNEL-INFRA_MCCY-IFXCISCOX2;ID:21476,,172.31.255.1 255.255.255.252,,,
 VECCSNOC7206X3,Loopback0,VECCSNOC7206X3,,181.225.41.20 255.255.255.255,,,
 VECCSNOC7206X3,Loopback1,,,181.225.46.247 255.255.255.255,,,
 VECCSNOC7206X3,GigabitEthernet0/1,,,,,,
 VECCSNOC7206X3,GigabitEthernet0/1.9,,9 native,172.23.249.6 255.255.255.240,,,
 VECCSNOC7206X3,GigabitEthernet0/1.30(shutdown),CRED-LEBRUN,30,172.23.249.36 255.255.255.240,,,
 VECCSNOC7206X3,GigabitEthernet0/2,,,,,,
 VECCSNOC7206X3,GigabitEthernet0/2.1,,1 native,172.23.253.129 255.255.255.248,,,
 VECCSNOC7206X3,GigabitEthernet0/2.319,,319,190.94.253.121 255.255.255.252,10M,10M,
 VECCSNOC7206X3,GigabitEthernet0/2.678,CONEX-EAGLE;ID:26261,678,172.23.255.41 255.255.255.252,20M,20M,
